Habitat,Site,Quad,Date,Colony ID,Total area,Discolored area,Pigmented area,Percent discoloration,Genus_species,Months,DHW
FR,FR3,40m,1004,Pavona_chiriquiensis_6,29.08,3.22,25.86,11.07290234,Pavona_chiriquiensis,7,0
FR,FR3,40m,1004,Pocillopora_meandrina_1,103.76,0.14,103.62,0.134926754,Pocillopora_meandrina,7,0
FR,FR3,40m,1004,Pocillopora_meandrina_2,185.14,2.17,182.97,1.172085989,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Favites_abdita_1,101.78,2.72,99.06,2.672430733,Favites_abdita,7,0
FR,FR3,45m,1004,Gardineroseris_planulata_1,8.48,6.41,2.07,75.58962264,Gardineroseris_planulata,7,0
FR,FR3,45m,1004,Goniastrea_stelligera_1,909.52,23.81,885.71,2.617864368,Goniastrea_stelligera,7,0
FR,FR3,45m,1004,Goniastrea_stelligera_2,18.64,0.12,18.52,0.643776824,Goniastrea_stelligera,7,0
FR,FR3,45m,1004,Pavona_chiriquiensis_1,33.16,0.85,32.31,2.563329312,Pavona_chiriquiensis,7,0
FR,FR3,45m,1004,Pavona_chiriquiensis_2,53.08,12.22,40.86,23.02185381,Pavona_chiriquiensis,7,0
FR,FR3,45m,1004,Pavona_chiriquiensis_3,137.73,31.17,106.56,22.63123503,Pavona_chiriquiensis,7,0
FR,FR3,45m,1004,Pocillopora_meandrina_1,98.55,0.61,97.94,0.61897514,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Pocillopora_meandrina_2,156.37,5.92,150.45,3.785892435,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Pocillopora_meandrina_3,32.46,7.35,25.11,22.64325323,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Pocillopora_meandrina_4,23.39,13.54,9.85,57.88798632,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Pocillopora_meandrina_5,0,0,0,#DIV/0!,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Pocillopora_meandrina_6,94.35,15.16,79.19,16.06783254,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Pocillopora_meandrina_7,115.22,1.1,114.12,0.954695365,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Pocillopora_meandrina_8,37.45,3.84,33.61,10.25367156,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Pocillopora_meandrina_9,10.32,0.01,10.31,0.096899225,Pocillopora_meandrina,7,0
FR,FR3,45m,1004,Stylophora_pistillata_1,52.29,2.62,49.67,5.010518264,Stylophora_pistillata,7,0
FR,FR3,5m,1004,Astrea_curta_1,38.74,0.68,38.06,1.755291688,Astrea_curta,7,0
FR,FR3,5m,1004,Astrea_curta_2,20.85,0.04,20.81,0.191846523,Astrea_curta,7,0
FR,FR3,5m,1004,Goniastrea_stelligera_1,174.56,2.11,172.45,1.208753437,Goniastrea_stelligera,7,0
FR,FR3,5m,1004,Montipora_aequituberculata_1,304.97,14.31,290.66,4.692264813,Montipora_aequituberculata,7,0
FR,FR3,5m,1004,Pavona_chiriquiensis_1,184.31,0.22,184.09,0.119364115,Pavona_chiriquiensis,7,0
FR,FR3,5m,1004,Pavona_chiriquiensis_2,109.29,14.95,94.34,13.67920212,Pavona_chiriquiensis,7,0
FR,FR3,5m,1004,Pavona_chiriquiensis_3,127.52,6.21,121.31,4.869824341,Pavona_chiriquiensis,7,0
FR,FR3,5m,1004,Pavona_chiriquiensis_4,45,0.2,44.8,0.444444444,Pavona_chiriquiensis,7,0
FR,FR3,5m,1004,Pavona_duerdeni_1,46.63,14.98,31.65,32.12524126,Pavona_duerdeni,7,0
FR,FR3,5m,1004,Pocillopora_meandrina_1,136.39,3.33,133.06,2.441527971,Pocillopora_meandrina,7,0
FR,FR3,5m,1004,Pocillopora_meandrina_3,23.03,2.91,20.12,12.63569257,Pocillopora_meandrina,7,0
FR,FR3,5m,1004,Porites_lobata_3,62.95,3.4,59.55,5.401111994,Porites_lobata,7,0
FR,FR3,5m,1004,Stylophora_pistillata_1,8.16,0.02,8.14,0.245098039,Stylophora_pistillata,7,0
FR,FR5,0m,1004,Astrea_curta_1,26.79,0.28,26.51,1.045166107,Astrea_curta,7,0
FR,FR5,0m,1004,Pocillopora_meandrina_2,226.7,0.04,226.66,0.017644464,Pocillopora_meandrina,7,0
FR,FR5,0m,1004,Pocillopora_meandrina_4,169.75,0.16,169.59,0.094256259,Pocillopora_meandrina,7,0
FR,FR5,0m,1004,Pocillopora_meandrina_5,68.78,0.82,67.96,1.192207037,Pocillopora_meandrina,7,0
FR,FR5,0m,1004,Pocillopora_meandrina_7,12.4,0.09,12.31,0.725806452,Pocillopora_meandrina,7,0
FR,FR5,0m,1004,Pocillopora_meandrina_9,3,0,3,0,Pocillopora_meandrina,7,0
FR,FR5,0m,1004,Porites_arnaudi_1,114.36,0.54,113.82,0.472193075,Porites_arnaudi,7,0
FR,FR5,10m,1004,Pavona_chiriquiensis_1,31.31,7.99,23.32,25.51900351,Pavona_chiriquiensis,7,0
FR,FR5,10m,1004,Pavona_chiriquiensis_2,94.11,3.19,90.92,3.389650409,Pavona_chiriquiensis,7,0
FR,FR5,10m,1004,Pavona_chiriquiensis_3,17.45,0.03,17.42,0.171919771,Pavona_chiriquiensis,7,0
FR,FR5,10m,1004,Pocillopora_meandrina_3,107.71,8.67,99.04,8.049391886,Pocillopora_meandrina,7,0
